statecd,region,age_bucket,participants,avg_budget
ACT,ACT,0-14,191299,17183.147847087545
ACT,ACT,15-24,91356,38849.7635623276
ACT,ACT,25-34,49342,65188.33853512221
ACT,ACT,35-54,95518,76054.01076236939
ACT,ACT,55+,612183,51409.534403928235
NSW,Central Coast,0-14,192524,18394.58457127423
NSW,Central Coast,15-24,93158,44697.82520019751
NSW,Central Coast,25-34,47281,71553.58389204966
NSW,Central Coast,35-54,84527,75325.88403705326
NSW,Central Coast,55+,605087,53772.19308958877
NSW,Far West,0-14,14644,19687.24392242557
NSW,Far West,15-24,6763,56504.50983291439
NSW,Far West,25-34,4288,72838.61940298507
NSW,Far West,35-54,6555,83270.3279938978
NSW,Far West,55+,50917,60429.71895437673
NSW,Hunter New England,0-14,570042,18343.23962094021
NSW,Hunter New England,15-24,270949,48420.592067141784
NSW,Hunter New England,25-34,142129,76963.27983733088
NSW,Hunter New England,35-54,254324,83642.85321086488
NSW,Hunter New England,55+,1793994,58394.49630266322
NSW,Illawarra Shoalhaven,0-14,171006,19896.506555325544
NSW,Illawarra Shoalhaven,15-24,96512,49611.74776193634
NSW,Illawarra Shoalhaven,25-34,57319,70800.51989741622
NSW,Illawarra Shoalhaven,35-54,107447,80653.61527078466
NSW,Illawarra Shoalhaven,55+,642818,59051.29134529525
NSW,Mid North Coast,0-14,163140,16227.510114012504
NSW,Mid North Coast,15-24,63441,45863.08538642203
NSW,Mid North Coast,25-34,31600,83327.62658227848
NSW,Mid North Coast,35-54,59167,87230.80433349671
NSW,Mid North Coast,55+,456422,53364.47629605935
NSW,Murrumbidgee,0-14,170351,16706.212467200075
NSW,Murrumbidgee,15-24,68294,49879.97481477143
NSW,Murrumbidgee,25-34,40958,75685.14087601933
NSW,Murrumbidgee,35-54,67220,83020.81225825647
NSW,Murrumbidgee,55+,492252,52446.35064966724
NSW,Nepean Blue Mountains,0-14,213251,19403.998105518847
NSW,Nepean Blue Mountains,15-24,94055,46203.295943862635
NSW,Nepean Blue Mountains,25-34,48100,86590.81081081081
NSW,Nepean Blue Mountains,35-54,85079,87909.75446349863
NSW,Nepean Blue Mountains,55+,604830,58336.967412330734
NSW,North Sydney,0-14,212012,19933.414146369072
NSW,North Sydney,15-24,96647,45337.56867776548
NSW,North Sydney,25-34,56448,80338.70110544217
NSW,North Sydney,35-54,116530,92794.54217797992
NSW,North Sydney,55+,750645,65477.39610601549
NSW,Northern NSW,0-14,170305,17254.431754792873
NSW,Northern NSW,15-24,83384,46658.375707569794
NSW,Northern NSW,25-34,43175,82803.79849449913
NSW,Northern NSW,35-54,77408,80440.63921041753
NSW,Northern NSW,55+,544855,55130.43286746015
NSW,South Eastern Sydney,0-14,231826,19790.51961384832
NSW,South Eastern Sydney,15-24,97934,50102.24232646476
NSW,South Eastern Sydney,25-34,58208,79497.28559648158
NSW,South Eastern Sydney,35-54,119764,84171.85464747336
NSW,South Eastern Sydney,55+,755251,61948.50188877605
NSW,South Western Sydney,0-14,578739,20318.1814254785
NSW,South Western Sydney,15-24,232522,54116.01482870438
NSW,South Western Sydney,25-34,130472,75898.05475504322
NSW,South Western Sydney,35-54,225113,86883.45408750272
NSW,South Western Sydney,55+,1622214,57906.58938956266
NSW,Southern NSW,0-14,89332,17491.637934894552
NSW,Southern NSW,15-24,42463,40018.51023243765
NSW,Southern NSW,25-34,24267,64289.240532410266
NSW,Southern NSW,35-54,43718,68031.81755798527
NSW,Southern NSW,55+,306090,48665.088699402135
NSW,Sydney,0-14,107792,19296.970090544753
NSW,Sydney,15-24,45674,49014.756754389804
NSW,Sydney,25-34,34374,60466.253563740036
NSW,Sydney,35-54,85577,73338.84104373839
NSW,Sydney,55+,460726,59678.68320867501
NSW,Western NSW,0-14,141640,17790.90652358091
