date_q,age_bucket,participants,avg_budget
2023-03-31,0-14,5774884,17638.973700597275
2023-03-31,15-24,2346824,47043.37052970312
2023-03-31,25-34,1288867,74007.01934334575
2023-03-31,35-54,2621106,76250.66517721908
2023-03-31,55+,17101041,52406.82277763091
2023-06-30,0-14,5984861,17824.7446348378
2023-06-30,15-24,2434353,47141.286411625595
2023-06-30,25-34,1324120,74535.2694619823
2023-06-30,35-54,2662376,77152.13816530797
2023-06-30,55+,17593502,52958.72504518998
2023-09-30,0-14,6232450,18186.657734919656
2023-09-30,15-24,2537877,48285.779413265496
2023-09-30,25-34,1359575,77247.29051357962
2023-09-30,35-54,2700952,80168.40173390716
2023-09-30,55+,18148048,54791.597807103004
2023-12-31,0-14,6394360,18286.546425287284
2023-12-31,15-24,2623958,48678.01275782615
2023-12-31,25-34,1388979,77752.2734324997
2023-12-31,35-54,2721726,81375.77404926138
2023-12-31,55+,18536380,55403.3396488419
2024-03-31,0-14,6370217,18507.43844361974
2024-03-31,15-24,2684529,48456.90510327883
2024-03-31,25-34,1408368,78259.64236619974
2024-03-31,35-54,2714331,82457.5525239921
2024-03-31,55+,18639588,56113.13415296518
2024-06-30,0-14,6468713,18764.209974998117
2024-06-30,15-24,2771537,48615.194745731336
2024-06-30,25-34,1433260,79101.05842624506
2024-06-30,35-54,2732726,83601.65380649212
2024-06-30,55+,18969222,56859.977810370925
2024-09-30,0-14,6696723,19206.997213413186
2024-09-30,15-24,2870532,49377.03394353381
2024-09-30,25-34,1467415,80828.79212765305
2024-09-30,35-54,2760385,85883.59812127656
2024-09-30,55+,19468551,58174.79950100036
2024-12-31,0-14,6771913,19551.200820211365
2024-12-31,15-24,2972377,49683.12095000062
2024-12-31,25-34,1496798,81721.55026930822
2024-12-31,35-54,2776062,87356.91133699463
2024-12-31,55+,19836193,59111.137101761415
